# WARNING: DO NOT EDIT THIS FILE!
# File created: 07-11-2018 14:30:23
# Log file for Lichtsensor2
# Time,Value
14:30:33,40.0
14:30:43,40.7
14:30:53,41.0
14:31:03,41.0
14:31:13,40.9
14:31:23,41.0
14:31:33,40.7
14:31:43,40.5
14:31:53,40.8
14:32:03,40.5
14:33:17,40.0
14:33:27,40.2
14:33:37,40.7
14:33:47,40.4
14:33:57,40.3
14:34:07,40.2
14:34:17,40.0
14:34:27,40.0
14:34:37,40.0
14:34:47,40.0
14:34:57,40.0
14:35:07,40.0
14:35:17,40.7
14:35:27,41.0
14:35:37,40.3
14:35:47,40.7
14:35:57,41.0
14:36:07,41.0
14:36:17,40.8
14:36:27,40.6
14:36:37,41.0
14:37:08,41.0
14:37:18,40.4
14:37:28,40.3
14:38:06,41.0
14:38:16,41.0
14:38:26,41.0
14:38:36,41.0
14:38:46,41.0
14:38:56,41.0
14:39:19,41.0
14:39:29,41.0
14:39:39,41.0
14:39:49,41.0
14:39:59,41.0
14:42:28,41.5
14:42:38,41.2
14:42:48,41.0
14:42:58,41.2
14:43:08,41.0
14:43:59,37.9
14:44:09,40.5
14:44:19,41.0
14:44:29,41.0
14:53:55,42.0
14:54:05,42.0
