# WARNING: DO NOT EDIT THIS FILE!
# File created: 07-11-2018 13:01:58
# Log file for Lichtsensor1
# Time,Value
13:02:09,15.5
13:02:19,16.4
14:30:33,73.6
14:30:43,72.6
14:30:53,75.7
14:31:03,73.7
14:31:13,73.5
14:31:23,74.6
14:31:33,73.4
14:33:51,71.2
14:34:01,75.6
14:34:11,69.9
14:34:21,69.3
14:34:31,76.0
14:34:41,70.8
14:34:51,72.3
14:35:01,75.6
14:37:08,74.4
14:37:18,74.8
14:37:28,75.2
14:38:06,74.6
14:38:16,75.3
14:38:26,73.3
14:38:36,73.7
14:38:46,74.0
14:38:56,74.3
14:39:35,73.2
14:39:45,73.9
14:39:55,74.8
15:06:43,69.4
