# WARNING: DO NOT EDIT THIS FILE!
# File created: 06-11-2018 12:49:31
# Log file for Temperatuursensor3
# Time,Value
12:49:41,95.8
12:49:51,106.1
12:50:01,118.4
12:50:11,117.8
12:50:21,118.3
12:50:31,118.3
12:50:41,118.2
12:50:51,118.0
12:51:01,118.3
12:51:12,117.9
12:51:22,118.1
12:51:32,118.0
12:51:42,118.1
12:51:52,118.1
12:52:02,117.7
12:52:12,118.8
12:52:22,118.1
12:52:32,118.1
12:52:42,117.8
12:52:52,118.5
12:53:02,118.8
12:53:12,118.0
12:53:22,118.2
12:53:32,118.3
